v,vw,o,c,h,l,t,n
421415.179872,714.7768,715.68,714.68,715.68,714.1801,1789133400000,7317
170787.528049,714.2104,714.69,714.3399,714.69,713.93,1789133460000,2599
161598.855384,714.4908,714.305,714.46,714.94,714.1,1789133520000,2339
197626.997466,714.9513,714.46,715.37,715.57,714.395,1789133580000,2858
130135.495566,715.3721,715.38,715.66,715.84,715.11,1789133640000,2069
142073.997083,715.7214,715.68,715.38,715.97,715.2212,1789133700000,2417
215462.130916,715.0338,715.35,714.605,715.42,714.57,1789133760000,2414
142959.081975,715.2801,714.58,715.3606,715.61,714.57,1789133820000,2453
113308.577351,715.2627,715.37,715.455,715.54,715.01,1789133880000,1744
94585.143398,715.2439,715.46,715.1,715.5,715.0,1789133940000,1369
190529.216308,714.924,715.2538,715.055,715.61,714.0903,1789134000000,3226
209034.560351,715.6713,715.03,715.72,716.18,715.02,1789134060000,2071
105101.665251,715.5338,715.69,715.47,715.72,715.35,1789134120000,1696
75283.348457,715.372,715.46,715.43,715.69,715.08,1789134180000,1351
85170.4444,715.6083,715.4,716.0,716.0,715.24,1789134240000,1432
122621.43861,715.8061,715.99,716.2,716.2,715.18,1789134300000,1940
279367.369278,716.3393,716.185,716.21,716.931,715.74,1789134360000,4846
81684.433226,716.0721,716.16,716.07,716.23,715.84,1789134420000,1577
106437.005199,715.7187,716.05,715.4655,716.21,715.41,1789134480000,1610
85460.917909,716.0098,715.48,716.06,716.2399,715.46,1789134540000,1167
91705.610598,716.0041,716.04,715.8784,716.295,715.78,1789134600000,1242
62131.380067,715.6169,715.89,715.63,715.89,715.35,1789134660000,1098
106062.261232,715.2533,715.64,715.0801,715.72,714.75,1789134720000,1870
69753.751114,715.1461,715.09,715.44,715.44,714.92,1789134780000,1330
72523.877214,715.5542,715.42,715.83,715.83,715.3,1789134840000,1308
51423.1298,715.807,715.83,715.9701,716.0,715.57,1789134900000,1056
57821.426991,716.0763,715.98,716.07,716.2,715.91,1789134960000,1022
48773.651349,715.9886,716.07,716.14,716.2,715.75,1789135020000,776
59185.183455,716.2387,716.15,716.47,716.5,716.09,1789135080000,1110
102132.299642,716.6232,716.49,716.865,717.05,716.41,1789135140000,1383
175182.733465,716.4783,716.93,716.455,716.93,716.21,1789135200000,2366
61643.974479,716.4849,716.465,715.95,716.87,715.95,1789135260000,1300
52304.261983,715.927,715.98,716.1092,716.1099,715.74,1789135320000,1014
82971.852266,715.7127,716.085,715.465,716.138,715.41,1789135380000,1428
74607.205284,715.272,715.49,715.0,715.62,714.9151,1789135440000,1215
55406.33953,715.1613,714.99,714.95,715.38,714.94,1789135500000,1003
67027.794023,714.8143,714.93,714.56,715.1,714.46,1789135560000,1311
66684.088195,714.5991,714.59,714.66,714.78,714.4,1789135620000,1172
68676.533799,714.7152,714.7,714.61,714.99,714.4901,1789135680000,1127
62998.391097,714.6441,714.55,715.0,715.05,714.42,1789135740000,1084
125046.508645,715.3946,715.04,715.41,715.76,714.9,1789135800000,2018
76379.158784,715.2037,715.43,715.31,715.48,714.8105,1789135860000,1537
85425.153079,714.893,715.35,715.085,715.3542,714.7,1789135920000,2553
66482.488409,715.0092,715.08,715.11,715.35,714.81,1789135980000,2404
88981.993166,715.1523,715.11,715.1,715.32,714.87,1789136040000,3087
60187.913359,715.167,715.11,715.15,715.36,715.04,1789136100000,2600
63708.691155,715.0967,715.12,714.8,715.33,714.755,1789136160000,2446
203943.597773,714.9575,714.77,714.76,714.86,714.57,1789136220000,2214
41338.876428,715.1545,714.75,715.59,715.63,714.58,1789136280000,2376
98687.093066,715.7613,715.6,716.12,716.17,715.5,1789136340000,2811
111469.678838,716.1647,716.16,716.43,716.54,715.98,1789136400000,3257
81571.169732,716.3833,716.435,716.45,716.55,716.21,1789136460000,2852
67074.202916,716.4379,716.45,716.62,716.67,716.205,1789136520000,2634
42869.417073,716.4502,716.61,716.37,716.61,716.3,1789136580000,2354
40573.311501,716.3358,716.37,716.27,716.52,716.1501,1789136640000,2269
35336.357648,716.3413,716.28,716.27,716.49,716.19,1789136700000,2187
58946.588532,716.4172,716.28,716.52,716.67,716.13,1789136760000,2315
48123.356297,716.6166,716.51,716.53,716.79,716.49,1789136820000,2249
63621.736012,716.7005,716.55,716.7,716.77,716.55,1789136880000,2328
60125.877823,716.7255,716.7,716.46,716.83,716.46,1789136940000,2409
70676.024297,716.3042,716.5,716.26,716.55,716.1,1789137000000,2697
67239.118205,716.0244,716.265,715.585,716.485,715.57,1789137060000,2875
57131.442731,715.6908,715.5905,715.83,715.85,715.51,1789137120000,2393
95936.439047,716.026,715.845,715.77,715.91,715.4,1789137180000,2436
69223.00669,715.6001,715.79,715.54,715.85,715.43,1789137240000,2510
167097.931827,711.1622,715.54,715.325,715.54,715.19,1789137300000,2353
89019.637189,715.1309,715.32,715.11,715.33,715.03,1789137360000,2606
76088.482421,715.2247,715.1,715.229,715.35,715.07,1789137420000,2756
202506.639846,711.5854,715.19,714.69,715.19,714.5,1789137480000,3012
93301.910305,714.8283,714.69,714.89,714.96,714.65,1789137540000,2677
96767.212834,715.2534,714.89,715.12,715.47,714.89,1789137600000,2892
28073.196331,715.0405,715.0963,714.952,715.25,714.85,1789137660000,2015
23469.427936,714.9273,714.98,714.85,715.16,714.77,1789137720000,1939
100535.069507,714.4418,714.845,714.15,714.92,714.14,1789137780000,2797
79566.824751,714.5321,714.1501,714.56,714.57,714.11,1789137840000,2489
39283.730129,714.602,714.56,714.765,714.77,714.44,1789137900000,2196
57984.163018,714.4727,714.755,714.11,714.755,714.05,1789137960000,2218
91677.723964,714.56,714.09,713.83,714.25,713.7,1789138020000,2879
423926.24276,713.0905,713.885,714.485,715.08,713.63,1789138080000,6534
92115.796347,714.6785,714.4407,715.17,715.1899,714.37,1789138140000,2945
110226.234815,714.9721,715.17,714.81,715.45,714.67,1789138200000,2582
46472.821931,714.8681,714.83,714.87,715.06,714.61,1789138260000,2273
61082.10672,714.7691,714.86,714.68,714.985,714.68,1789138320000,1902
27553.547436,714.5884,714.63,714.555,714.705,714.41,1789138380000,1981
25659.394942,714.5431,714.55,714.48,714.64,714.45,1789138440000,2113
60818.278483,714.1694,714.49,714.15,714.5,714.0,1789138500000,2686
38820.021023,714.1649,714.17,714.145,714.29,714.0,1789138560000,2394
34256.647821,714.3393,714.15,714.55,714.56,714.07,1789138620000,2148
47268.435344,714.5055,714.52,714.325,714.65,714.31,1789138680000,2321
41464.074473,714.5732,714.32,714.49,714.6495,714.171,1789138740000,2189
70951.152353,714.5396,714.4493,714.87,714.9,714.24,1789138800000,2455
86022.528803,714.7273,714.8686,714.7525,714.88,714.54,1789138860000,2359
22409.082194,714.681,714.75,714.7881,714.82,714.55,1789138920000,2029
29770.104954,714.8229,714.86,715.04,715.04,714.59,1789138980000,2124
42516.699404,714.97,715.01,715.2701,715.28,714.76,1789139040000,2297
