v,vw,o,c,h,l,t,n
1640276.088462,220.854,221.235,220.515,221.34,220.25,1789133400000,30214
625636.10872,219.9575,220.49,219.3977,220.5,219.1501,1789133460000,9847
481892.584672,219.5022,219.36,219.6,219.74,219.18,1789133520000,7815
441079.342065,219.7279,219.57,219.96,220.0205,219.45,1789133580000,10112
305586.121872,219.7823,219.92,219.78,220.01,219.595,1789133640000,6127
350773.305996,219.91,219.77,219.69,220.2,219.66,1789133700000,6812
569713.478495,219.4069,219.66,219.2179,219.68,219.03,1789133760000,9084
311732.463594,219.5075,219.2092,219.58,219.77,219.19,1789133820000,6265
252148.803955,219.5231,219.55,219.54,219.61,219.36,1789133880000,5158
252223.994293,219.4886,219.53,219.62,219.62,219.32,1789133940000,5280
483901.409033,219.793,219.6288,219.98,220.07,219.3732,1789134000000,8433
330467.799817,220.0444,219.985,219.8799,220.21,219.82,1789134060000,5334
250067.00309,219.8678,219.89,219.94,220.0399,219.6611,1789134120000,5075
250879.774817,220.0204,219.9372,220.015,220.14,219.92,1789134180000,4956
266664.390472,219.9235,220.0,220.06,220.1,219.77,1789134240000,5348
294138.553016,219.8846,220.07,219.89,220.09,219.77,1789134300000,5164
413773.752802,219.7706,219.88,219.75,219.94,219.53,1789134360000,9317
191043.651099,219.7162,219.74,219.71,219.81,219.64,1789134420000,4101
318601.008589,219.5043,219.7,219.365,219.74,219.345,1789134480000,5292
217193.374683,219.7207,219.35,219.81,219.89,219.35,1789134540000,4677
274780.767181,219.8927,219.78,220.0,220.0449,219.77,1789134600000,5060
266194.627554,219.9324,219.99,220.155,220.175,219.715,1789134660000,5509
431856.582983,220.3805,220.14,220.46,220.58,220.07,1789134720000,6849
370013.627573,220.6012,220.46,220.73,220.77,220.37,1789134780000,6852
487956.683092,220.8803,220.75,221.16,221.18,220.55,1789134840000,6290
632688.285663,221.1788,221.14,221.4,221.44,220.8301,1789134900000,8505
429483.659053,221.0107,221.4074,220.79,221.5,220.72,1789134960000,6483
309421.929806,220.8187,220.79,220.915,221.01,220.6,1789135020000,5317
329094.462803,221.1644,220.89,221.284,221.34,220.87,1789135080000,5396
541326.381439,221.4672,221.28,221.61,221.71,221.22,1789135140000,6569
345493.745091,221.4466,221.62,221.4,221.62,221.31,1789135200000,5519
479491.667392,221.5331,221.41,221.64,221.75,221.33,1789135260000,6481
386457.456992,221.6373,221.635,221.7101,221.75,221.45,1789135320000,5784
441859.543829,221.7625,221.72,221.76,221.9,221.6231,1789135380000,6262
674111.915953,221.8601,221.775,221.51,222.0,221.5,1789135440000,8939
407017.15448,221.6069,221.5199,221.37,221.7999,221.35,1789135500000,6902
417423.426052,221.172,221.3507,220.882,221.485,220.8,1789135560000,7284
