v,vw,o,c,h,l,t,n
459053.942373,764.5389,764.72,764.565,764.73,764.34,1789133400000,7814
176216.533009,764.455,764.58,764.53,764.81,764.225,1789133460000,2500
213412.529599,764.8106,764.53,764.77,765.1399,764.48,1789133520000,2641
145572.431137,765.05,764.77,765.4799,765.49,764.73,1789133580000,2493
207533.965873,765.5425,765.44,765.77,765.86,765.31,1789133640000,2779
163537.348296,765.8432,765.76,765.9195,765.97,765.68,1789133700000,2538
174128.321653,765.7689,765.91,765.5138,765.99,765.501,1789133760000,2702
175604.06168,765.7394,765.58,765.83,765.9,765.58,1789133820000,2524
161351.397793,765.6827,765.81,765.75,765.83,765.48,1789133880000,2132
94802.716807,765.4944,765.77,765.56,765.79,765.38,1789133940000,1594
339107.621822,765.1927,765.56,765.21,765.81,764.67,1789134000000,4553
126824.161407,765.5605,765.2101,765.45,765.75,765.2101,1789134060000,1724
93487.697332,765.2449,765.4,765.34,765.41,765.06,1789134120000,1694
125113.029751,765.2316,765.335,765.3,765.42,765.05,1789134180000,1770
144877.289648,765.1962,765.31,765.46,765.46,764.9599,1789134240000,1989
124164.745619,765.2147,765.48,765.27,765.54,764.99,1789134300000,1892
307774.514548,765.5915,765.28,765.38,765.93,765.06,1789134360000,4362
65251.01467,765.2349,765.39,765.16,765.41,765.002,1789134420000,1356
111547.634538,765.0521,765.15,764.87,765.285,764.87,1789134480000,1569
153511.330919,765.001,764.88,764.97,765.229,764.8,1789134540000,2330
115102.09638,765.1102,764.99,765.15,765.2899,764.955,1789134600000,1743
84803.128389,765.0156,765.155,765.06,765.161,764.83,1789134660000,1391
84990.120703,765.0362,765.07,764.895,765.2,764.7,1789134720000,1486
68618.659989,764.9877,764.89,765.1,765.16,764.82,1789134780000,1256
89899.583976,765.0152,765.12,765.13,765.13,764.89,1789134840000,1502
61352.195928,765.2136,765.13,765.4399,765.45,765.025,1789134900000,1284
84422.086514,765.5801,765.43,765.7314,765.75,765.41,1789134960000,1406
76120.588105,765.4738,765.695,765.7706,765.87,765.53,1789135020000,1097
58764.605521,765.7413,765.775,765.9,765.91,765.66,1789135080000,1173
165303.255804,766.1307,765.9,766.31,766.38,765.88,1789135140000,2429
129202.055075,766.0161,766.31,765.88,766.33,765.86,1789135200000,2177
116346.412548,765.8684,765.86,765.66,766.09,765.66,1789135260000,1865
110413.900792,765.6739,765.64,765.74,765.7887,765.5301,1789135320000,1496
120156.379523,765.6789,765.79,765.61,765.84,765.46,1789135380000,2030
66668.079675,765.5186,765.65,765.45,765.68,765.38,1789135440000,1234
90984.883352,765.4705,765.45,765.14,765.6,765.13,1789135500000,1634
88373.023821,765.1212,765.14,765.055,765.33,764.94,1789135560000,1610
86477.691449,765.127,765.07,765.14,765.245,764.94,1789135620000,1360
58084.384493,765.2455,765.15,765.22,765.445,765.04,1789135680000,1208
49021.882718,765.2544,765.23,765.41,765.41,765.07,1789135740000,1032
66856.609543,765.5479,765.4,765.51,765.69,765.29,1789135800000,1388
79908.439974,765.1985,765.5,765.24,765.5,764.995,1789135860000,1534
83574.472352,764.9195,765.25,765.01,765.25,764.78,1789135920000,1795
113413.031746,765.1323,765.025,765.24,765.43,764.97,1789135980000,1639
61737.956547,765.0429,765.25,764.9,765.315,764.82,1789136040000,1639
101433.310236,764.9557,764.9,765.01,765.1399,764.84,1789136100000,1752
124995.684645,765.0026,764.99,764.79,765.1478,764.75,1789136160000,1397
115045.870814,764.7565,764.79,764.83,764.9,764.63,1789136220000,2176
75567.781686,765.1233,764.84,765.48,765.49,764.805,1789136280000,1666
71783.578515,765.5583,765.45,765.72,765.75,765.37,1789136340000,1549
91855.080323,765.7064,765.72,765.86,765.904,765.58,1789136400000,1722
59880.5853,765.7807,765.87,765.86,765.95,765.69,1789136460000,1454
70666.552038,765.9286,765.84,766.011,766.02,765.77,1789136520000,1665
78161.036068,765.8748,766.025,765.8231,766.025,765.75,1789136580000,1742
43049.918161,765.818,765.82,765.76,765.92,765.682,1789136640000,1294
81089.084238,765.719,765.76,765.67,765.84,765.61,1789136700000,1656
49808.228984,765.7318,765.675,765.8,765.94,765.57,1789136760000,1362
46592.159186,765.9302,765.795,765.89,766.03,765.78,1789136820000,1369
69834.915245,766.0157,765.895,766.031,766.1,765.88,1789136880000,1305
39376.154003,765.9401,766.05,765.73,766.08,765.7299,1789136940000,1342
87488.919548,765.5171,765.75,765.435,765.78,765.3,1789137000000,1697
59670.105774,765.3744,765.47,765.07,765.625,765.07,1789137060000,1509
106780.690839,765.0826,765.07,765.22,765.27,764.99,1789137120000,1585
100642.882667,765.0547,765.22,765.05,765.26,764.79,1789137180000,1760
74880.871082,764.8803,765.05,764.73,765.13,764.69,1789137240000,1800
137326.204193,764.6395,764.73,764.61,764.73,764.51,1789137300000,2095
142021.242697,764.5119,764.59,764.45,764.63,764.44,1789137360000,1957
74686.269782,764.5597,764.4599,764.615,764.7,764.41,1789137420000,1469
117981.188857,764.2984,764.59,764.22,764.62,764.04,1789137480000,2159
74923.381761,764.2752,764.215,764.3,764.4,764.18,1789137540000,1400
140449.539865,764.5576,764.3,764.4892,764.74,764.3,1789137600000,2411
50555.255723,764.4361,764.46,764.42,764.54,764.31,1789137660000,1257
30956.855827,764.3688,764.4,764.31,764.49,764.2344,1789137720000,1183
129745.66397,764.0654,764.33,763.9202,764.43,763.91,1789137780000,2082
56128.800022,764.0141,763.93,764.05,764.09,763.88,1789137840000,1289
88094.293138,763.9953,764.04,764.17,764.17,763.8822,1789137900000,1641
86314.293145,763.9877,764.165,763.875,764.21,763.8,1789137960000,1755
65957.224186,763.8212,763.87,763.7001,764.03,763.6,1789138020000,1469
413326.041683,762.3164,763.71,764.25,764.8295,763.685,1789138080000,4428
100934.854102,764.3402,764.27,764.69,764.73,764.18,1789138140000,1937
70668.125389,764.4986,764.715,764.39,764.85,764.34,1789138200000,1704
50280.650759,764.422,764.4101,764.445,764.57,764.26,1789138260000,1352
60973.709723,764.4296,764.47,764.32,764.55,764.28,1789138320000,1449
59515.3333,764.2046,764.28,764.16,764.34,764.1,1789138380000,1333
38694.492594,764.1095,764.17,764.07,764.17,764.0,1789138440000,1190
565373.607137,764.1133,764.075,763.8,764.08,763.7,1789138500000,1390
50081.298346,763.8243,763.81,763.83,763.92,763.72,1789138560000,1283
69425.288727,763.9653,763.82,764.05,764.11,763.75,1789138620000,1246
43138.187693,764.0763,764.07,763.92,764.21,763.91,1789138680000,1219
45453.551874,763.9282,763.925,763.97,764.05,763.76,1789138740000,1207
52362.121001,763.9906,763.9538,764.265,764.31,763.81,1789138800000,1325
39253.535782,764.1835,764.27,764.295,764.295,764.05,1789138860000,1358
38839.373143,764.1974,764.31,764.32,764.33,764.09,1789138920000,1122
36860.550494,764.3868,764.35,764.5899,764.5899,764.22,1789138980000,1125
27309.365377,764.4577,764.57,764.668,764.668,764.2707,1789139040000,1095
68533.554458,764.8575,764.65,764.9301,764.98,764.6034,1789139100000,1488
63964.163827,765.082,764.93,765.13,765.25,764.93,1789139160000,1638
42427.396832,765.1469,765.145,765.205,765.22,765.07,1789139220000,1195
40160.958467,765.0195,765.19,764.87,765.19,764.87,1789139280000,1336
46074.380802,764.8895,764.85,764.9,764.98,764.81,1789139340000,1296
51608.571751,764.8551,764.91,764.91,764.96,764.75,1789139400000,1391
42256.095629,764.677,764.89,764.68,764.9,764.56,1789139460000,1251
